Date,Humidity (%)
2024-11-20 17:20:09,55.00
2024-11-20 17:10:09,55.00
2024-11-20 17:00:09,49.00
2024-11-20 16:50:09,58.00
2024-11-20 16:40:09,56.00
2024-11-20 16:30:09,50.00
2024-11-20 16:20:09,55.00
2024-11-20 16:10:09,54.00
2024-11-20 16:00:09,59.00
2024-11-20 15:50:09,55.00
2024-11-20 15:40:09,59.00
2024-11-20 15:30:09,57.00
2024-11-20 15:20:09,58.00
2024-11-20 15:10:10,57.00
2024-11-20 15:00:08,52.00
2024-11-20 14:50:08,55.00
2024-11-20 14:40:08,56.00
2024-11-20 14:30:08,56.00
2024-11-20 14:20:08,55.00
2024-11-20 14:10:08,55.00
2024-11-20 14:00:08,55.00
2024-11-20 13:50:08,55.00
2024-11-20 13:40:08,55.00
2024-11-20 13:30:08,55.00
2024-11-20 13:20:08,55.00
2024-11-20 13:10:08,55.00
2024-11-20 13:00:08,54.00
2024-11-20 12:50:08,55.00
2024-11-20 12:40:08,55.00
2024-11-20 12:30:08,55.00
2024-11-20 12:20:08,55.00
2024-11-20 12:10:08,54.00
2024-11-20 12:00:08,55.00
2024-11-20 11:50:08,62.00
2024-11-20 11:40:08,63.00
2024-11-20 11:30:09,64.00
2024-11-20 11:20:08,66.00
2024-11-20 11:10:08,64.00
2024-11-20 11:00:08,59.00
2024-11-20 10:50:08,53.00
2024-11-20 10:40:08,57.00
2024-11-20 10:30:08,57.00
2024-11-20 10:20:08,57.00
2024-11-20 10:10:08,57.00
2024-11-20 10:00:08,57.00
2024-11-20 9:50:08,57.00
2024-11-20 9:40:08,57.00
2024-11-20 9:30:08,57.00
2024-11-20 9:20:08,57.00
2024-11-20 9:10:08,57.00
2024-11-20 9:00:08,57.00
2024-11-20 8:50:08,57.00
2024-11-20 8:40:08,57.00
2024-11-20 8:30:08,57.00
2024-11-20 8:20:08,57.00
2024-11-20 8:10:08,57.00
2024-11-20 8:00:08,57.00
2024-11-20 7:50:08,57.00
2024-11-20 7:40:08,57.00
2024-11-20 7:30:08,57.00
2024-11-20 7:20:08,57.00
2024-11-20 7:10:08,57.00
2024-11-20 7:00:08,57.00
2024-11-20 6:50:08,57.00
2024-11-20 6:40:08,58.00
2024-11-20 6:30:08,58.00
2024-11-20 6:20:08,58.00
2024-11-20 6:10:08,58.00
2024-11-20 6:00:08,58.00
2024-11-20 5:50:08,58.00
2024-11-20 5:40:08,58.00
2024-11-20 5:30:08,58.00
2024-11-20 5:20:08,58.00
2024-11-20 5:10:08,58.00
2024-11-20 5:00:08,58.00
2024-11-20 4:50:08,58.00
2024-11-20 4:40:08,58.00
2024-11-20 4:30:08,58.00
2024-11-20 4:20:08,58.00
2024-11-20 4:10:08,58.00
2024-11-20 4:00:08,58.00
2024-11-20 3:50:08,58.00
2024-11-20 3:40:08,58.00
2024-11-20 3:30:08,58.00
2024-11-20 3:20:08,58.00
2024-11-20 3:10:08,58.00
2024-11-20 3:00:08,58.00
2024-11-20 2:50:08,58.00
2024-11-20 2:40:08,58.00
2024-11-20 2:30:08,58.00
2024-11-20 2:20:08,58.00
2024-11-20 2:10:08,58.00
2024-11-20 2:00:08,58.00
2024-11-20 1:50:08,58.00
2024-11-20 1:40:08,58.00
2024-11-20 1:30:08,59.00
2024-11-20 1:20:08,59.00
2024-11-20 1:10:08,59.00
2024-11-20 1:00:08,60.00
2024-11-20 0:50:08,61.00
2024-11-20 0:40:09,60.00
2024-11-20 0:30:08,56.00
2024-11-20 0:20:08,53.00
2024-11-20 0:10:08,60.00
2024-11-20 0:00:08,60.00
2024-11-19 23:50:08,56.00
2024-11-19 23:40:08,50.00
2024-11-19 23:30:08,57.00
2024-11-19 23:20:08,57.00
2024-11-19 23:10:08,58.00
2024-11-19 23:00:08,58.00
2024-11-19 22:50:08,59.00
2024-11-19 22:40:08,60.00
2024-11-19 22:30:08,60.00
2024-11-19 22:20:08,56.00
2024-11-19 22:10:08,54.00
2024-11-19 22:00:08,59.00
2024-11-19 21:50:08,59.00
2024-11-19 21:40:08,58.00
2024-11-19 21:30:08,53.00
2024-11-19 21:20:08,48.00
2024-11-19 21:10:08,56.00
2024-11-19 21:00:08,56.00
2024-11-19 20:50:08,56.00
2024-11-19 20:40:08,56.00
2024-11-19 20:30:08,56.00
2024-11-19 20:20:08,56.00
2024-11-19 20:10:08,56.00
2024-11-19 20:00:08,56.00
2024-11-19 19:50:08,56.00
2024-11-19 19:40:08,57.00
2024-11-19 19:30:08,56.00
2024-11-19 19:20:08,56.00
2024-11-19 19:10:08,56.00
2024-11-19 19:00:09,55.00
2024-11-19 18:50:08,55.00
2024-11-19 18:40:08,55.00
2024-11-19 18:30:08,54.00
2024-11-19 18:20:08,54.00
2024-11-19 18:10:08,53.00
2024-11-19 18:00:08,52.00
2024-11-19 17:50:08,52.00
2024-11-19 17:40:08,49.00
2024-11-19 17:30:08,50.00
2024-11-19 17:20:08,50.00
2024-11-19 17:10:08,51.00
2024-11-19 17:00:08,51.00
2024-11-19 16:50:08,51.00
2024-11-19 16:40:08,51.00
2024-11-19 16:30:08,51.00
2024-11-19 16:20:08,52.00
2024-11-19 16:10:08,52.00
2024-11-19 16:00:08,52.00
2024-11-19 15:50:08,53.00
2024-11-19 15:40:08,53.00
2024-11-19 15:30:08,52.00
2024-11-19 15:20:08,52.00
2024-11-19 15:10:08,52.00
2024-11-19 15:00:08,52.00
2024-11-19 14:50:08,51.00
2024-11-19 14:40:08,50.00
2024-11-19 14:30:08,49.00
2024-11-19 14:20:08,49.00
2024-11-19 14:10:08,50.00
2024-11-19 14:00:08,55.00
2024-11-19 13:50:08,55.00
2024-11-19 13:40:08,55.00
2024-11-19 13:30:08,55.00
2024-11-19 13:20:08,55.00
2024-11-19 13:10:08,55.00
2024-11-19 13:00:08,55.00
2024-11-19 12:50:08,55.00
2024-11-19 12:40:08,55.00
2024-11-19 12:30:08,55.00
2024-11-19 12:20:08,55.00
2024-11-19 12:10:08,55.00
2024-11-19 12:00:08,55.00
2024-11-19 11:50:08,55.00
2024-11-19 11:40:08,55.00
2024-11-19 11:30:08,55.00
2024-11-19 11:20:08,55.00
2024-11-19 11:10:08,55.00
2024-11-19 11:00:08,55.00
2024-11-19 10:50:08,55.00
2024-11-19 10:40:08,55.00
2024-11-19 10:30:08,56.00
2024-11-19 10:20:08,56.00
2024-11-19 10:10:08,56.00
2024-11-19 10:00:08,56.00
2024-11-19 9:50:08,56.00
2024-11-19 9:40:08,57.00
2024-11-19 9:30:08,57.00
2024-11-19 9:20:08,57.00
2024-11-19 9:10:08,57.00
2024-11-19 9:00:08,58.00
